Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-23 01:07:18.429,Fullstack Developer,Junior,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,100-300,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:07:27.626,Backend Developer,Mid,1-3 Yıl,"React / NextJS, Javascript, Golang",Yurtdışı,Remote,0-10,Dolar,56.000 - 60.000 TL
2023-01-23 01:12:15.755,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, Javascript",Türkiye,Remote,0-10,Türk Lirası,16.000 - 20.000 TL
2023-01-23 01:13:00.827,Fullstack Developer,Senior,4-6 Yıl,"React / NextJS, Javascript, Java / Spring",Türkiye,Remote,2000+,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:14:19.784,CRM Developer,Junior,0-1 Yıl,"Javascript, C# / .NET Framework, Typescript",Türkiye,Remote,300-1000,Türk Lirası,5000 - 10.000 TL
2023-01-23 01:14:29.585,ERP Yazılımcı,Senior,4-6 Yıl,SAP/ABAP,Türkiye,Remote,300-1000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:14:29.621,Backend Developer,Junior,0-1 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Hybrid,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:15:08.589,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 01:16:51.078,Frontend Developer,Junior,1-3 Yıl,"Vue, Javascript",Türkiye,Remote,2000+,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:17:49.448,Frontend Developer,Mid,1-3 Yıl,"React / NextJS, Vue, Javascript",Türkiye,Remote,2000+,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:18:50.708,Fullstack Developer,Mid,1-3 Yıl,"Vue, C# / .NET Framework",Türkiye,Hybrid,2000+,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:21:37.402,Backend Developer,Senior,10+ Yıl,"Angular, Java / Spring, Flutter",Yurtdışı,Remote,2000+,Euro,151.000 - 200.000 TL
2023-01-23 01:25:04.343,Mobile Developer,Mid,1-3 Yıl,Kotlin,Türkiye,Hybrid,2000+,Türk Lirası,11.000 - 15.000 TL
2023-01-23 01:25:55.385,Fullstack Developer,Senior,4-6 Yıl,"React / NextJS, Java / Spring, C# / .NET Framework",Türkiye,Hybrid,2000+,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:27:08.491,Backend Developer,Junior,1-3 Yıl,"Vue, PHP / Laravel",Türkiye,Hybrid,300-1000,Türk Lirası,16.000 - 20.000 TL
2023-01-23 01:27:18.843,Backend Developer,Mid,4-6 Yıl,PHP / Laravel,Türkiye,Hybrid,300-1000,Türk Lirası,31.000 - 35.000 TL
2023-01-23 01:27:44.762,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Remote,50-100,Türk Lirası,41.000 - 45.000 TL
2023-01-23 01:30:15.609,Embedded software engineer ,Mid,4-6 Yıl,C / C++,Türkiye,Hybrid,300-1000,Türk Lirası,21.000 - 25.000 TL
2023-01-23 01:31:57.410,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Remote,1000-2000,Türk Lirası,26.000 - 30.000 TL
